oid,locIndex,geoid10,csaName,walkIndex
"33579",47.82679,"80010085452","Denver-Aurora-Boulder, CO","13"
"33580",53.34048,"80010085453","Denver-Aurora-Boulder, CO","10"
"33581",50.73944,"80010085454","Denver-Aurora-Boulder, CO","12"
"33582",49.10085,"80010085455","Denver-Aurora-Boulder, CO","13"
"33583",49.12318,"80010085461","Denver-Aurora-Boulder, CO","5"
"33584",48.5497,"80010085462","Denver-Aurora-Boulder, CO","15"
"33585",47.81763,"80010085471","Denver-Aurora-Boulder, CO","12"
"33586",49.09214,"80010085472","Denver-Aurora-Boulder, CO","16"
"33587",49.22507,"80010085481","Denver-Aurora-Boulder, CO","5"
"33588",47.01564,"80010085491","Denver-Aurora-Boulder, CO","11"
"33589",46.22548,"80010085492","Denver-Aurora-Boulder, CO","10"
"33590",48.49263,"80010085501","Denver-Aurora-Boulder, CO","13"
"33591",44.70053,"80010085502","Denver-Aurora-Boulder, CO","11"
"33592",52.2172,"80010085503","Denver-Aurora-Boulder, CO","10"
"33593",47.48765,"80010085504","Denver-Aurora-Boulder, CO","12"
"33594",50.05895,"80010085511","Denver-Aurora-Boulder, CO","11"
"33595",35.85762,"80010086031","Denver-Aurora-Boulder, CO","16"
"33596",47.64629,"80010086041","Denver-Aurora-Boulder, CO","13"
"33597",42.02177,"80010086042","Denver-Aurora-Boulder, CO","17"
"33598",42.50689,"80010086051","Denver-Aurora-Boulder, CO","17"
"33599",52.09378,"80010086052","Denver-Aurora-Boulder, CO","8"
"33600",41.57226,"80010086061","Denver-Aurora-Boulder, CO","15"
"33601",43.16345,"80010086062","Denver-Aurora-Boulder, CO","12"
"33602",44.83376,"80010086063","Denver-Aurora-Boulder, CO","15"
"33603",47.19918,"80010087051","Denver-Aurora-Boulder, CO","13"
"33604",44.68529,"80010087052","Denver-Aurora-Boulder, CO","13"
"33605",40.00256,"80010087053","Denver-Aurora-Boulder, CO","12"
"33606",47.821,"80010087054","Denver-Aurora-Boulder, CO","17"
"33607",38.76954,"80010087061","Denver-Aurora-Boulder, CO","17"
"33608",40.17916,"80010087062","Denver-Aurora-Boulder, CO","15"
"33609",43.22051,"80010087063","Denver-Aurora-Boulder, CO","11"
"33610",43.25373,"80010087091","Denver-Aurora-Boulder, CO","15"
"33611",33.95589,"80010087092","Denver-Aurora-Boulder, CO","14"
"33612",25.29464,"80010087093","Denver-Aurora-Boulder, CO","12"
"33613",35.88304,"80010087094","Denver-Aurora-Boulder, CO","15"
"33614",33.99965,"80010087095","Denver-Aurora-Boulder, CO","12"
"33615",45.05094,"80010088011","Denver-Aurora-Boulder, CO","7"
"33616",44.60485,"80010088012","Denver-Aurora-Boulder, CO","11"
"33617",41.2988,"80010088013","Denver-Aurora-Boulder, CO","16"
"33618",42.33214,"80010088021","Denver-Aurora-Boulder, CO","12"
"33619",46.65606,"80010088022","Denver-Aurora-Boulder, CO","14"
"33620",37.00734,"80010088023","Denver-Aurora-Boulder, CO","5"
"33621",47.15809,"80010089011","Denver-Aurora-Boulder, CO","13"
"33622",48.55526,"80010089012","Denver-Aurora-Boulder, CO","13"
"33623",43.86159,"80010090011","Denver-Aurora-Boulder, CO","15"
"33624",43.83369,"80010090012","Denver-Aurora-Boulder, CO","17"
"33625",38.55907,"80010090021","Denver-Aurora-Boulder, CO","6"
"33626",41.56609,"80010090022","Denver-Aurora-Boulder, CO","12"
"33627",43.03517,"80010090023","Denver-Aurora-Boulder, CO","12"
"33628",47.26514,"80010090024","Denver-Aurora-Boulder, CO","13"
"33629",41.906,"80010090025","Denver-Aurora-Boulder, CO","12"
"33630",52.26131,"80010091011","Denver-Aurora-Boulder, CO","11"
"33631",46.78289,"80010091012","Denver-Aurora-Boulder, CO","12"
"33632",48.27693,"80010091013","Denver-Aurora-Boulder, CO","11"
"33633",45.71517,"80010091031","Denver-Aurora-Boulder, CO","10"
"33634",37.04152,"80010091032","Denver-Aurora-Boulder, CO","3"
"33635",47.64518,"80010091041","Denver-Aurora-Boulder, CO","6"
"33636",45.97065,"80010091042","Denver-Aurora-Boulder, CO","12"
"33637",41.71067,"80010092021","Denver-Aurora-Boulder, CO","12"
"33638",43.48276,"80010092022","Denver-Aurora-Boulder, CO","12"
"33639",46.02149,"80010092023","Denver-Aurora-Boulder, CO","14"
"33640",40.36972,"80010092031","Denver-Aurora-Boulder, CO","14"
"33641",27.98404,"80010092032","Denver-Aurora-Boulder, CO","15"
"33642",34.90859,"80010092033","Denver-Aurora-Boulder, CO","15"
"33643",44.58427,"80010092041","Denver-Aurora-Boulder, CO","14"
"33644",47.88641,"80010092042","Denver-Aurora-Boulder, CO","16"
"33645",46.99134,"80010092043","Denver-Aurora-Boulder, CO","13"
"33646",44.94042,"80010092061","Denver-Aurora-Boulder, CO","16"
"33647",41.01855,"80010092071","Denver-Aurora-Boulder, CO","10"
"33648",46.55765,"80010092072","Denver-Aurora-Boulder, CO","12"
"33649",50.15364,"80010093041","Denver-Aurora-Boulder, CO","10"
"33650",46.94629,"80010093042","Denver-Aurora-Boulder, CO","15"
"33651",37.83698,"80010093043","Denver-Aurora-Boulder, CO","12"
"33652",43.85399,"80010093044","Denver-Aurora-Boulder, CO","14"
"33653",38.74265,"80010093045","Denver-Aurora-Boulder, CO","14"
"33654",35.75841,"80010093061","Denver-Aurora-Boulder, CO","16"
"33655",42.79077,"80010093062","Denver-Aurora-Boulder, CO","14"
"33656",41.83953,"80010093071","Denver-Aurora-Boulder, CO","17"
"33657",43.91354,"80010093072","Denver-Aurora-Boulder, CO","14"
"33658",46.67908,"80010093081","Denver-Aurora-Boulder, CO","12"
"33659",44.46492,"80010093082","Denver-Aurora-Boulder, CO","11"
"33660",35.17215,"80010093083","Denver-Aurora-Boulder, CO","12"
"33661",32.48242,"80010093084","Denver-Aurora-Boulder, CO","17"
"33662",36.54276,"80010093091","Denver-Aurora-Boulder, CO","15"
"33663",41.53525,"80010093092","Denver-Aurora-Boulder, CO","11"
"33664",47.85756,"80010093101","Denver-Aurora-Boulder, CO","12"
"33665",46.12623,"80010093102","Denver-Aurora-Boulder, CO","12"
"33666",43.63382,"80010093103","Denver-Aurora-Boulder, CO","12"
"33667",36.38456,"80010093104","Denver-Aurora-Boulder, CO","13"
"33668",43.9535,"80010093161","Denver-Aurora-Boulder, CO","13"
"33669",27.92408,"80010093162","Denver-Aurora-Boulder, CO","13"
"33670",40.33644,"80010093163","Denver-Aurora-Boulder, CO","13"
"33671",35.01583,"80010093164","Denver-Aurora-Boulder, CO","12"
"33672",38.89548,"80010093165","Denver-Aurora-Boulder, CO","16"
"33673",37.57351,"80010093181","Denver-Aurora-Boulder, CO","13"
"33674",38.65839,"80010093182","Denver-Aurora-Boulder, CO","15"
"33675",30.59193,"80010093191","Denver-Aurora-Boulder, CO","14"
"33676",47.16572,"80010093192","Denver-Aurora-Boulder, CO","10"
"33677",57.18773,"80010093193","Denver-Aurora-Boulder, CO","17"
"33678",26.52581,"80010093201","Denver-Aurora-Boulder, CO","14"
"33679",28.1082,"80010093202","Denver-Aurora-Boulder, CO","14"
"33680",36.28811,"80010093211","Denver-Aurora-Boulder, CO","12"
"33681",46.7783,"80010093212","Denver-Aurora-Boulder, CO","11"
"33682",29.28344,"80010093213","Denver-Aurora-Boulder, CO","11"
"33683",45.42092,"80010093221","Denver-Aurora-Boulder, CO","14"
"33684",43.2618,"80010093222","Denver-Aurora-Boulder, CO","14"
"33685",44.59908,"80010093231","Denver-Aurora-Boulder, CO","16"
"33686",29.60963,"80010093232","Denver-Aurora-Boulder, CO","12"
"33687",53.08084,"80010093233","Denver-Aurora-Boulder, CO","14"
"33688",28.10808,"80010093234","Denver-Aurora-Boulder, CO","14"
"33689",44.07403,"80010093251","Denver-Aurora-Boulder, CO","14"
"33690",53.90382,"80010093252","Denver-Aurora-Boulder, CO","14"
"33691",45.09731,"80010093253","Denver-Aurora-Boulder, CO","14"
"33692",39.69523,"80010093261","Denver-Aurora-Boulder, CO","13"
"33693",46.24957,"80010093262","Denver-Aurora-Boulder, CO","11"
"33694",46.96278,"80010093271","Denver-Aurora-Boulder, CO","12"
"33695",49.50373,"80010093272","Denver-Aurora-Boulder, CO","11"
"33696",38.77555,"80010093273","Denver-Aurora-Boulder, CO","9"
"33697",58.25566,"80010093274","Denver-Aurora-Boulder, CO","9"
"33698",46.47482,"80010094011","Denver-Aurora-Boulder, CO","11"
"33699",46.97606,"80010094012","Denver-Aurora-Boulder, CO","11"
"33700",45.47669,"80010094013","Denver-Aurora-Boulder, CO","10"
"33701",44.15536,"80010094061","Denver-Aurora-Boulder, CO","13"
"33702",46.11098,"80010094062","Denver-Aurora-Boulder, CO","14"
"33703",41.62093,"80010094071","Denver-Aurora-Boulder, CO","15"
"33704",45.02898,"80010094072","Denver-Aurora-Boulder, CO","11"
"33705",48.9878,"80010094073","Denver-Aurora-Boulder, CO","13"
"33706",47.96591,"80010094081","Denver-Aurora-Boulder, CO","15"
"33707",45.33685,"80010094091","Denver-Aurora-Boulder, CO","14"
"33708",50.93137,"80010094092","Denver-Aurora-Boulder, CO","13"
"33709",54.44517,"80010094101","Denver-Aurora-Boulder, CO","14"
"33710",53.21182,"80010094102","Denver-Aurora-Boulder, CO","13"
"33711",51.40479,"80010094111","Denver-Aurora-Boulder, CO","17"
"33712",46.20048,"80010094112","Denver-Aurora-Boulder, CO","13"
"33713",44.29014,"80010095011","Denver-Aurora-Boulder, CO","15"
"33714",41.84474,"80010095012","Denver-Aurora-Boulder, CO","13"
"33715",46.2075,"80010095021","Denver-Aurora-Boulder, CO","17"
"33716",50.02129,"80010095022","Denver-Aurora-Boulder, CO","15"
"33717",41.40908,"80010095023","Denver-Aurora-Boulder, CO","12"
"33718",45.88712,"80010095531","Denver-Aurora-Boulder, CO","16"
"33719",46.91745,"80010095532","Denver-Aurora-Boulder, CO","12"
"33720",48.00858,"80010096031","Denver-Aurora-Boulder, CO","13"
"33721",39.89966,"80010096032","Denver-Aurora-Boulder, CO","12"
"33722",50.04737,"80010096033","Denver-Aurora-Boulder, CO","15"
"33723",33.87929,"80010096034","Denver-Aurora-Boulder, CO","15"
"33724",33.7601,"80010096035","Denver-Aurora-Boulder, CO","10"
"33725",33.34665,"80010096041","Denver-Aurora-Boulder, CO","17"
"33726",41.89729,"80010096042","Denver-Aurora-Boulder, CO","14"
"33727",39.41011,"80010096061","Denver-Aurora-Boulder, CO","16"
"33728",61.35555,"80010096062","Denver-Aurora-Boulder, CO","13"
"33729",46.01981,"80010096071","Denver-Aurora-Boulder, CO","13"
"33730",47.51618,"80010096072","Denver-Aurora-Boulder, CO","5"
"33731",25.58704,"80010096073","Denver-Aurora-Boulder, CO","13"
"33732",46.23183,"80010096081","Denver-Aurora-Boulder, CO","16"
"33733",50.59243,"80010096082","Denver-Aurora-Boulder, CO","16"
"33734",42.79889,"80010097511","Denver-Aurora-Boulder, CO","12"
"33735",35.42546,"80010097512","Denver-Aurora-Boulder, CO","12"
"33736",49.4679,"80010097521","Denver-Aurora-Boulder, CO","14"
"33737",51.17596,"80010097522","Denver-Aurora-Boulder, CO","12"
"33738",44.8768,"80010150001","Denver-Aurora-Boulder, CO","8"
"33739",44.63331,"80010150002","Denver-Aurora-Boulder, CO","10"
"33740",54.87202,"80010600001","Denver-Aurora-Boulder, CO","7"
"33741",56.21456,"80010600002","Denver-Aurora-Boulder, CO","6"
"33742",51.48607,"80010601001","Denver-Aurora-Boulder, CO","13"
"33743",48.2468,"80010601002","Denver-Aurora-Boulder, CO","12"
"33744",36.73636,"80010602001","Denver-Aurora-Boulder, CO","12"
"33745",52.81229,"80010602002","Denver-Aurora-Boulder, CO","15"
"33746",57.16472,"80010612001","Denver-Aurora-Boulder, CO","7"
"33747",,"80019887001","Denver-Aurora-Boulder, CO","5"
"33748",,"80039600001",,"5"
"33749",,"80039600002",,"4"
"33750",,"80039601001",,"2"
"33751",,"80039601002",,"1"
"33752",,"80039601003",,"4"
"33753",,"80039602001",,"8"
"33754",,"80039602002",,"10"
"33755",,"80039602003",,"7"
"33756",,"80039602004",,"9"
"33757",,"80039602005",,"12"
"33758",,"80039602006",,"12"
"33759",,"80039603001",,"7"
"33760",,"80039603002",,"8"
"33761",,"80039603003",,"10"
"33762",,"80039603004",,"7"
"33763",30.11383,"80050049511","Denver-Aurora-Boulder, CO","12"
"33764",36.33709,"80050049521","Denver-Aurora-Boulder, CO","16"
"33765",34.99408,"80050049522","Denver-Aurora-Boulder, CO","17"
"33766",31.74105,"80050055511","Denver-Aurora-Boulder, CO","13"
"33767",37.04134,"80050055512","Denver-Aurora-Boulder, CO","16"
"33768",42.66516,"80050055521","Denver-Aurora-Boulder, CO","15"
"33769",42.56337,"80050055522","Denver-Aurora-Boulder, CO","14"
